state,population
alaska,733406
alabama,5108468
arkansas,3067732
arizona,7431344
california,38965193
colorado,5877610
connecticut,3617176
delaware,1031890
district of columbia,678972
florida,22610726
georgia,11029227
hawaii,1435138
idaho,1964726
illinois,12549689
indiana,6862199
iowa,3207004
kansas,2940546
kentucky,4526154
louisiana,4573749
maine,1395722
maryland,6180253
massachusetts,7001399
michigan,10037261
minnesota,5737915
mississippi,2939690
missouri,6196156
montana,1132812
nebraska,1978379
nevada,3194176
new hampshire,1402054
new jersey,9290841
new mexico,2114371
new york,19571216
north carolina,10835491
north dakota,783926
ohio,11785935
oklahoma,4053824
oregon,4233358
pennsylvania,12961683
rhode island,1095962
south carolina,5373555
south dakota,919318
tennessee,7126489
texas,30503301
utah,3417734
vermont,647464
virginia,8715698
washington,7812880
west virginia,1770071
wisconsin,5910955
wyoming,584057
